"Update Cookie Settings","Actualización de la configuración de cookies"
"Cookie Settings","Configuración de cookies"
"Learn more","Aprender más"
"Necessary cookies","Cookies necesarios"
"Preferences cookies","Cookies de preferencias"
"Toggle me","Actívame"
"Statistic cookies","Cookies estadísticos"
"Marketing cookies","Cookies de marketing"
"Customize","Personalizar"
"Accept all","Aceptar todo"
"Deny all","Rechazar todo"
"Manage Settings","Gestionar"
"Block all cookies","Bloquear todas"
"To use these Services, we need your consent. By clicking on “Accept all”, you declare your consent to the use of all Services. You can also declare your consent by individually clicking on the sliders for each category of cookies and save.","Para utilizar estos servicios, necesitamos su consentimiento. Al hacer clic en ""Aceptar todo"", declara su consentimiento para el uso de todos los servicios. También puede declarar su consentimiento haciendo clic individualmente en los controles deslizantes para cada categoría de cookies y guardando."
"Necessary cookies help make a website usable by enabling basic functions like page navigation and access to secure areas of the website. The website cannot function properly without these cookies.","Las cookies necesarias ayudan a hacer una página web utilizable activando funciones básicas como la navegación en la página y el acceso a áreas seguras de la página web. La página web no puede funcionar adecuadamente sin estas cookies."
"Preference cookies enable a website to remember information that changes the way the website behaves or looks, like your preferred language or the region that you are in.","Las cookies de preferencias permiten a la página web recordar información que cambia la forma en que la página se comporta o el aspecto que tiene, como su idioma preferido o la región en la que usted se encuentra."
"Statistic cookies help website owners to understand how visitors interact with websites by collecting and reporting information anonymously.","Las cookies estadísticas ayudan a los propietarios de páginas web a comprender cómo interactúan los visitantes con las páginas web reuniendo y proporcionando información de forma anónima."
"Marketing cookies are used to track visitors across websites. The intention is to display ads that are relevant and engaging for the individual user and thereby more valuable for publishers and third party advertisers.","Las cookies de marketing se utilizan para rastrear a los visitantes en las páginas web. La intención es mostrar anuncios relevantes y atractivos para el usuario individual, y por lo tanto, más valiosos para los editores y terceros anunciantes."
"We use our own cookies as well as third-party cookies on our websites to enhance your experience, analyze our traffic, and for security and marketing. Select ""Accept All"" to allow them to be used. Read our <a href=""%1"" class=""%2"">Cookie Policy</a>.","Utilizamos nuestras propias cookies, así como cookies de terceros en nuestros sitios web para mejorar su experiencia, analizar nuestro tráfico y para seguridad y marketing. Seleccione ""Aceptar todo"" para permitir su uso. Lea nuestra <a href=""%1"" class=""%2"">Política de cookies</a>."
